/
'12DGR120tipp                  '130.08317
'12DGR140tipp                  '130.08317
'12DGR141tipp                  '130.08317
'12DGR160tipp                  '130.08317
'12DGR161tipp                  '130.08317
'12DGR180tipp                  '130.08317
'12DGR181tipp                  '130.08317
'ACt2rpp_b                     '  0.00000
'ACt4pp                        '1.0000E+3
'ACtex_f                       '  0.00000
'ACtex_b                       '  0.00000
'ADA                           '117.07596
'ADCL                          '  0.00278
'ADCS                          '  0.00278
'ADD                           '117.07596
'ADEt2rpp_f                    '  0.00000
'ADEt2rpp_b                    '  0.00000
'ADEtex_f                      '  0.00000
'ADEtex_b                      '  0.00000
'ADK1_f                        '1.0000E+3
'ADK1_b                        '  0.00000
'ADK3_f                        '999.77047
'ADK3_b                        '  0.00000
'ADK4_f                        '  0.00000
'ADK4_b                        '  0.00000
'ADMDC                         '  0.02103
'ADNCYC                        '292.68713
'ADNK1                         '292.68991
'ADNt2pp                       '1.0000E+3
'ADNt2rpp_f                    '  0.00000
'ADNt2rpp_b                    '  0.00000
'ADNtex_f                      '  0.00000
'ADNtex_b                      '  0.00000
'ADNUC                         '  0.00000
'ADOCBIK                       '  0.00000
'ADOCBLabcpp                   '  0.00000
'ADOCBLS                       '  0.00000
'ADOCBLtonex                   '  0.00000
'ADPRDP                        ' 73.17178
'ADPT                          '292.68991
'ADSK                          ' 69.61193
'ADSL1r_f                      '117.16600
'ADSL1r_b                      '  0.00000
'ADSL2r_f                      ' 22.86764
'ADSL2r_b                      '  0.00000
'ADSS                          '117.16600
'AGDC                          ' 60.03839
'AGM3PA                        ' 30.01919
'AGM3PApp                      ' 27.22671
'AGM3PH                        ' 30.01919
'AGM3Pt2pp                     ' 30.01919
'AGM4PA                        ' 29.26871
'AGM4PApp                      ' 26.60792
'AGM4PCP                       ' 29.26871
'AGM4PCPpp                     ' 28.55484
'AGM4PH                        ' 29.26871
'AGM4Pt2pp                     ' 29.26871
'AGMH                          ' 30.01919
'AGMHE                         '  7.65373
'AGMT                          ' 34.44181
'AGMt2pp                       ' 27.22671
'AGMtex_f                      '  0.00000
'AGMtex_b                      '  0.00000
'AGPAT120                      ' 68.86756
'AGPAT140                      ' 68.86756
'AGPAT141                      ' 68.86756
'AGPAT160                      ' 68.88636
'AGPAT161                      ' 68.88218
'AGPAT180                      ' 68.86756
'AGPAT181                      ' 68.87510
'AGPR_f                        ' -0.10150
'AGPR_b                        '  0.00000
'AGt3                          '  0.00000
'AHCYSNS                       ' 51.27407
'AICART_f                      ' 27.81869
'AICART_b                      '  0.00000
