* Pathways from iAF1260

AACPS3	[c] : ACP + atp + hdca --> amp + palmACP + ppi
AACPS4	[c] : ACP + atp + hdcea --> amp + hdeACP + ppi
AACPS5	[c] : ACP + atp + ocdcea --> amp + octeACP + ppi
AACPS6	[c] : ACP + atp + ocdca --> amp + ocdcaACP + ppi
AACPS7	[c] : ACP + atp + ddca --> amp + ddcaACP + ppi
AACPS8	[c] : ACP + atp + dca --> amp + dcaACP + ppi
AACPS9	[c] : ACP + atp + octa --> amp + ocACP + ppi
AACTOOR	[c] : aact + h2o + o2 --> h2o2 + mthgxl + nh4
AADDGT	[c] : dtdp4aaddg + unagamu --> dtdp + h + unagamuf
AAMYL	[c] : 14glucan --> malthx
AAMYLpp	[p] : 14glucan --> malthx
AB6PGH	[c] : arbt6p + h2o --> g6p + hqn
ABTA	[c] : 4abut + akg --> glu-L + sucsal
ABUTD	[c] : 4abutn + h2o + nad --> 4abut + (2) h + nadh
ABUTt2pp	4abut[p] + h[p] --> 4abut[c] + h[c]
ABUTtex	4abut[e] <==> 4abut[p]
ACACCT	[c] : acac + accoa --> aacoa + ac
ACACT1r	[c] : (2) accoa <==> aacoa + coa
ACACt2pp	acac[p] + h[p] <==> acac[c] + h[c]
ACACtex	acac[e] <==> acac[p]
ACALD	[c] : acald + coa + nad <==> accoa + h + nadh
ACALDtex	acald[e] <==> acald[p]
ACALDtpp	acald[p] <==> acald[c]
ACANTHAT	[c] : accoa + anth --> acanth + coa
ACBIPGT	[c] : adocbip + gtp + h --> agdpcbi + ppi
ACCOAC	[c] : accoa + atp + hco3 --> adp + h + malcoa + pi
ACCOAL	[c] : atp + coa + ppa --> adp + pi + ppcoa
ACGAL1PPpp	[p] : acgal1p + h2o --> acgal + pi
ACGAL1Ptex	acgal1p[e] <==> acgal1p[p]
ACGALtex	acgal[e] <==> acgal[p]
ACGAM1PPpp	[p] : acgam1p + h2o --> acgam + pi
ACGAM1Ptex	acgam1p[e] <==> acgam1p[p]
ACGAMK	[c] : acgam + atp --> acgam6p + adp + h
ACGAMT	[c] : uacgam + udcpp --> ump + unaga
ACGAptspp	acgam[p] + pep[c] --> acgam6p[c] + pyr[c]
ACGAtex	acgam[e] <==> acgam[p]
